ra,endereço,lat,lon
Planaltina,"VIA INTERNA - JARDIM RORIZ, QD 5 F LT 48, PRÓX. À SORVETERIA KI SORVETE",-15.602395,-47.645515
Plano Piloto,"W3 SUL, PRÓX. À SHIGS 710",-15.815188,-47.910168
Vicente Pires,"RUA 3, CH 53 LT 5 LJ 2, PRÓX. AO COLÉGIO OBJETIVO, SENT. EPTG",-15.814539,-48.012085
Samambaia,"VIA RIBEIRÃO TAGUATINGA (QNL/SAMAMBAIA), PRÓX. AO SÍTIO GERANIUM, SENT. SUL/NORTE",-15.844531,-48.075209
Sobradinho II,"VIA INTERNA - SOB. II, QMS 60 CONJ D, PROX. A CS 2B",-15.626809,-47.833626
Santa Maria,"AV. ALAGADO, QR 211, PRÓX. A MAIS CAR",-16.011718,-48.010925
Ceilândia,"VIA INTERNA - COND. SOL NASCENTE (TRECHO 1), CH 201 CONJ B CS 1A, NA VIA DA GARAGEM DA MARECHAL",-15.837279,-48.128719999999994
Taguatinga,"VIA INTERNA - QNJ, QNJ 9, ST J NORTE, PRÓX. AO RESTAURANTE VARANDAS",-15.811946,-48.084329999999994
Samambaia,"AV. NOROESTE - NORTE, QR 429, CONJ A1, PRÓX. À IGREJA EBENEZER",-15.893512,-48.138952
Samambaia,"1ª AV. - NORTE, QN 210, CJ L, PRÓX. AO CEI 210, SAMAMBAIA",-15.862874,-48.077126
Samambaia,"1ª AV. - SUL, ROTATÓRIA, PRÓX. À QS 127 CJ E LT 1",-15.898021,-48.128461
Taguatinga,"VIA LJ 01, QNJ 26, PRÓX. À COMUNELLOS PIZZARIA, SENT. À ELMO SEREJO",-15.817469,-48.082442
Gama,"VIA ENTRE QUADRAS - SETOR LESTE, ROTATÓRIA, PRÓX. AO LOBÃO FERRAGENS, ENTRE AS QUADRAS 37 E 38",-16.023595,-48.060541
Recanto das Emas,"AV. RECANTO DAS EMAS, Q 104, PRÓX. AO SUPERMERCADO ULTRABOX",-15.903558,-48.071062
Vicente Pires,RUA 04 A CHACARA 01 LOTE 12,-15.817592,-48.01467
Ceilândia,"VIA ENTRE QUADRAS - EXPANSÃO DO SETOR O, POSTE DE ILUMINAÇÃO, QNO 17 CJ F",-15.799331,-48.131578
